id (store),year,month,week,usa,after, sales ,,,,
1,2011,4,16,0,0,118691.00,,,,
1,2011,4,17,0,0,113804.00,,,,
1,2011,4,18,0,0,172104.00,,,,
1,2011,5,19,0,0,105591.00,,,,
1,2011,5,20,0,0,94884.00,,,,
1,2011,5,21,0,0,106246.00,,,,
1,2011,5,22,0,0,119068.00,,,,
1,2011,5,23,0,0,80604.00,,,,
1,2011,6,24,0,0,138472.00,,,,
1,2011,6,25,0,0,187031.00,,,,
1,2011,6,26,0,0,159097.00,,,,
1,2011,6,27,0,0,136925.00,,,,
1,2011,7,28,0,0,116322.00,,,,
1,2011,7,29,0,0,124650.00,,,,
1,2011,7,30,0,0,101399.00,,,,
1,2011,7,31,0,0,106238.00,,,,
1,2011,8,32,0,0,89480.00,,,,
1,2011,8,33,0,0,142852.00,,,,
1,2011,8,34,0,0,100355.00,,,,
1,2011,8,35,0,0,132594.00,,,,
1,2011,8,36,0,0,96338.00,,,,
1,2011,9,37,0,0,217664.00,,,,
1,2011,9,38,0,0,96275.00,,,,
1,2011,9,39,0,0,152475.00,,,,
1,2011,9,40,0,0,89157.00,,,,
1,2011,10,41,0,0,114080.00,,,,
1,2011,10,42,0,0,213818.00,,,,
1,2011,10,43,0,1,105130.00,,,,
1,2011,10,44,0,1,145112.00,,,,
1,2011,10,45,0,1,106205.00,,,,
1,2011,11,46,0,1,127148.00,,,,
1,2011,11,47,0,1,138521.00,,,,
1,2011,11,48,0,1,182305.00,,,,
1,2011,11,49,0,1,179614.00,,,,
1,2011,12,50,0,1,137124.00,,,,
1,2011,12,51,0,1,192487.00,,,,
1,2011,12,52,0,1,111623.00,,,,
1,2011,12,53,0,1,146439.00,,,,
1,2012,1,1,0,1,52105.00,,,,
1,2012,1,2,0,1,134360.00,,,,
1,2012,1,3,0,1,89138.00,,,,
1,2012,1,4,0,1,113036.00,,,,
1,2012,1,5,0,1,68635.00,,,,
1,2012,1,6,0,1,87751.00,,,,
1,2012,2,7,0,1,104431.00,,,,
1,2012,2,8,0,1,125178.00,,,,
1,2012,2,9,0,1,110720.00,,,,
1,2012,2,10,0,1,76451.00,,,,
1,2012,3,11,0,1,76357.00,,,,
1,2012,3,12,0,1,73581.00,,,,
1,2012,3,13,0,1,83532.00,,,,
1,2012,3,14,0,1,113183.00,,,,
1,2012,4,15,0,1,70199.00,,,,
1,2012,4,16,0,1,117595.00,,,,
3,2011,4,16,1,0,31152.00,,,,
